movieId,title,genres,YEAR,Thriller,Horror,Action,Romance,Comedy,SciFi,Children,Mystery,Fantasy,Adventure,FilmNoir,Crime,Western,Animation,Drama,War,Musical,Documentary,None
777,Pharaoh's Army (1995),War,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1450,Prisoner of the Mountains (Kavkazsky plennik) (1996),War,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2669,Pork Chop Hill (1959),War,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2670,Run Silent Run Deep (1958),War,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3339,Cross of Iron (1977),War,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3367,"Devil's Brigade, The (1968)",War,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3670,Story of G.I. Joe (1945),War,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4924,Anzio (1968),War,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5196,Lion of the Desert (1980),War,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5921,Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui) (1982),War,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6434,"Objective, Burma! (1945)",War,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6441,Battle of Britain (1969),War,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6447,Duel at Diablo (1966),War,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6498,Murphy's War (1971),War,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30695,In Enemy Hands (2004),War,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60389,Battle for Haditha (2007),War,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85129,71: Into The Fire (Pohwasogeuro) (2010),War,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156944,Land of Mine (2015),War,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161954,Anthropoid (2016),War,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182369,Journey's End (2018),War,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
