userId,movieId,rating,timestamp,title,genres,YEAR,Thriller,Horror,Action,Romance,Comedy,SciFi,Children,Mystery,Fantasy,Adventure,FilmNoir,Crime,Western,Animation,Drama,War,Musical,Documentary,None,count
114398,2571,0.5,1451903747,"Matrix, The (1999)",Action|Sci-Fi|Thriller,1999.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17613
92390,356,0.5,1119288630,Forrest Gump (1994),Comedy|Drama|Romance|War,1994.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17432
90102,296,0.5,1107062246,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1994.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16912
143964,260,0.5,1241908646,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16625
147756,593,0.5,1337672306,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,1991.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16390
83131,1270,0.5,1111498720,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1985.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16300
22973,318,0.5,1468620325,"Shawshank Redemption, The (1994)",Crime|Drama,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16198
22573,1196,0.5,1077941650,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,1980.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16181
149767,480,0.5,1230314473,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16170
25945,1198,0.5,1500401334,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,1981.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15815
